Taxon,LRT,P-value,Q-value,Significant
R.kirilowii,37.574,<0.001,<0.001,True
R.hobsonii,4.126,0.047,1.000,False
R.tibetica,0.503,0.329,1.000,False
R.amabilis,0.000,1.000,1.000,False
R.bupleuroides,0.000,1.000,1.000,False
R.chrysanthemifolia,0.000,1.000,1.000,False
R.crenulata,0.000,1.000,1.000,False
R.discolor,0.000,1.000,1.000,False
R.fastigiata,0.000,1.000,1.000,False
R.heterodonta,0.000,1.000,1.000,False
R.himalensis,0.000,1.000,1.000,False
R.humilis,0.000,1.000,1.000,False
R.nepalica,0.000,1.000,1.000,False
R.purpureoviridis,0.000,1.000,1.000,False
R.quadrifida,0.000,1.000,1.000,False
R.sacra,0.000,1.000,1.000,False
R.sherriffii,0.000,1.000,1.000,False
R.smithii,0.000,1.000,1.000,False
