Environmental factor,N,β,SE,t,P-value,Q-value,significant_fdr
GPD_Std,17,0.003328,0.000449,7.411,<0.001,<0.001,True
GHII_Std,17,-0.2691,0.07783,-3.458,0.004,0.221,False
GHII_0.95,17,-0.08082,0.02828,-2.858,0.012,0.503,False
bio_4_Mean,16,0.004436,0.001642,2.701,0.017,0.542,False
CEC_CLAY,17,0.07847,0.03525,2.226,0.042,0.951,False
Elevation_Std,17,0.002593,0.001221,2.124,0.051,0.951,False
GPD_Mean,17,0.00729,0.003621,2.013,0.062,0.951,False
GHIL_0.95,17,2.25,1.225,1.837,0.086,0.951,False
PET_Std,17,-0.008585,0.004683,-1.833,0.087,0.951,False
bio_11_Std,17,0.4804,0.2669,1.800,0.092,0.951,False
CEC_SOIL,17,0.2061,0.1179,1.748,0.101,0.951,False
bio_4_Std,17,0.01008,0.005955,1.692,0.111,0.951,False
GPD_0.95,17,0.001356,0.0008513,1.593,0.132,0.951,False
Elevation_Mean,5,-0.0002833,0.0001392,-2.035,0.135,0.951,False
GHIL_Mean,17,4.817,3.086,1.561,0.139,0.951,False
TEB,17,0.05196,0.0349,1.489,0.157,0.951,False
bio_3_0.05,17,-0.06349,0.04286,-1.482,0.159,0.951,False
SILT,17,0.1521,0.103,1.476,0.161,0.951,False
TCARBON_EQ,17,0.1121,0.07948,1.410,0.179,0.951,False
bio_3_Mean,17,-0.05567,0.04004,-1.391,0.185,0.951,False
CEC_EFF,17,0.05386,0.03899,1.381,0.187,0.951,False
PH_WATER,17,0.5357,0.3894,1.376,0.189,0.951,False
bio_14_0.95,17,0.05942,0.04344,1.368,0.192,0.951,False
bio_9_0.05,17,-0.0466,0.03458,-1.348,0.198,0.951,False
MI_Std,17,-3.653,2.797,-1.306,0.211,0.951,False
Elevation_0.95,5,-0.0002192,0.0001396,-1.571,0.214,0.951,False
GHFD_0.95,17,0.03992,0.03119,1.280,0.220,0.951,False
bio_6_Std,17,0.2814,0.225,1.251,0.230,0.951,False
bio_7_Mean,17,0.05288,0.04311,1.227,0.239,0.951,False
bio_4_0.95,14,0.0005069,0.0004243,1.195,0.255,0.951,False
bio_1_Std,17,0.4153,0.3591,1.157,0.266,0.951,False
bio_3_Std,17,0.227,0.1963,1.156,0.266,0.951,False
bio_9_Mean,17,-0.04596,0.04124,-1.114,0.283,0.951,False
GPD_0.05,17,-0.1666,0.1507,-1.106,0.286,0.951,False
bio_10_0.95,17,0.1117,0.1019,1.097,0.290,0.951,False
bio_14_Std,17,0.1349,0.123,1.096,0.290,0.951,False
bio_8_0.95,17,0.1004,0.09593,1.046,0.312,0.951,False
bio_7_0.95,17,0.03919,0.03844,1.020,0.324,0.951,False
GHIL_Std,17,4.561,4.509,1.012,0.328,0.951,False
BSAT,17,0.01432,0.01437,0.997,0.335,0.951,False
bio_1_0.05,17,-0.05994,0.06063,-0.989,0.339,0.951,False
bio_11_0.05,17,-0.03589,0.03646,-0.985,0.340,0.951,False
SAND,17,-0.07302,0.07451,-0.980,0.343,0.951,False
bio_19_Std,17,-0.009411,0.009887,-0.952,0.356,0.951,False
bio_6_Mean,17,-0.04073,0.0428,-0.952,0.356,0.951,False
bio_5_0.95,17,0.09184,0.09731,0.944,0.360,0.951,False
GHII_Mean,17,-0.03537,0.03781,-0.935,0.364,0.951,False
bio_9_Std,17,0.1269,0.138,0.919,0.373,0.951,False
bio_11_Mean,17,-0.03821,0.04248,-0.900,0.383,0.951,False
bio_7_0.05,17,0.05154,0.06077,0.848,0.410,0.951,False
bio_6_0.05,17,-0.02933,0.03628,-0.809,0.431,0.951,False
bio_3_0.95,17,-0.03142,0.04139,-0.759,0.460,0.951,False
bio_17_Std,17,-0.01739,0.02313,-0.752,0.464,0.951,False
bio_19_0.95,17,-0.002505,0.003398,-0.737,0.472,0.951,False
bio_19_Mean,17,-0.005013,0.007135,-0.703,0.493,0.951,False
bio_13_0.05,17,-0.005451,0.007789,-0.700,0.495,0.951,False
bio_4_0.05,17,0.001212,0.001747,0.694,0.498,0.951,False
ELEC_COND,17,0.4118,0.5953,0.692,0.500,0.951,False
TOPDEP,17,0.03012,0.04385,0.687,0.503,0.951,False
bio_13_Mean,17,-0.00441,0.006422,-0.687,0.503,0.951,False
BOTDEP,17,0.02576,0.03783,0.681,0.506,0.951,False
bio_2_0.05,17,0.1737,0.2569,0.676,0.509,0.951,False
bio_1_Mean,17,-0.046,0.0686,-0.671,0.513,0.951,False
bio_10_Std,17,0.245,0.3678,0.666,0.515,0.951,False
bio_17_0.95,17,-0.004937,0.007815,-0.632,0.537,0.951,False
BULK,17,-2.276,3.622,-0.628,0.539,0.951,False
COARSE,17,0.07073,0.1132,0.625,0.541,0.951,False
GHFD_Std,17,0.04969,0.08283,0.600,0.557,0.951,False
bio_5_Mean,17,0.07032,0.1185,0.593,0.562,0.951,False
Elevation_0.05,5,-0.0001018,0.0001568,-0.649,0.562,0.951,False
ALUM_SAT,17,-0.01242,0.02162,-0.574,0.574,0.951,False
bio_17_Mean,17,-0.006894,0.01259,-0.548,0.592,0.951,False
bio_12_Std,17,-0.001135,0.002129,-0.533,0.602,0.951,False
