Taxon,ω_weighted,ω_max,Baseline ω,dN,dS,dN/dS,LRT,P-value,Q-value,Significant,Retained for analysis,Exclusion reason
R.kirilowii,20.26,46.96,0.608,5.189,0.08869,58.51,37.574,<0.001,<0.001,True,True,
R.hobsonii,0.584,34.95,0.2332,0.01937,0.01149,1.686,4.126,0.047,1.000,False,True,
R.tibetica,1e+10,1e+10,1e+10,0.001377,1e-10,,0.503,0.329,1.000,False,False,small dS; extreme ω
R.amabilis,0.3849,0.3849,0.3791,0.007027,0.006324,1.111,0.000,1.000,1.000,False,True,
R.bupleuroides,0.6683,0.6683,0.6602,0.005535,0.002869,1.929,0.000,1.000,1.000,False,True,
R.chrysanthemifolia,0.1264,0.1264,0.1257,0.00415,0.01137,0.3649,0.000,1.000,1.000,False,True,
R.crenulata,0.646,0.646,0.639,0.005535,0.002968,1.865,0.000,1.000,1.000,False,True,
R.discolor,0.05415,0.05415,0.0537,0.00138,0.00883,0.1563,0.000,1.000,1.000,False,True,
R.fastigiata,0.1633,0.1633,0.1614,0.00138,0.002926,0.4715,0.000,1.000,1.000,False,True,
R.heterodonta,0.3235,0.3235,0.3201,0.009734,0.01042,0.9339,0.000,1.000,1.000,False,True,
R.himalensis,0.3254,0.3254,0.3217,0.004153,0.004421,0.9395,0.000,1.000,1.000,False,True,
R.humilis,0.4047,0.4047,0.4025,0.01302,0.01115,1.168,0.000,1.000,1.000,False,True,
R.nepalica,0.1193,0.1193,0.1185,0.005645,0.01639,0.3444,0.000,1.000,1.000,False,True,
R.purpureoviridis,0,0,0,1e-10,0.001447,6.91e-08,0.000,1.000,1.000,False,True,
R.quadrifida,0.1645,0.1645,0.1631,0.004157,0.008751,0.475,0.000,1.000,1.000,False,True,
R.sacra,0.1866,0.1866,0.1836,0.004162,0.007726,0.5387,0.000,1.000,1.000,False,True,
R.sherriffii,0.1099,0.1099,0.1087,0.001385,0.004362,0.3174,0.000,1.000,1.000,False,True,
R.smithii,0.1575,0.1575,0.155,0.006951,0.01529,0.4547,0.000,1.000,1.000,False,True,
