taxon,bio_4_Mean,bio_11_Std,PET_Std,Elevation_Std,GHII_Std,GHII_0.95,GHIL_Mean,GHIL_0.95,GPD_Mean,GPD_Std,GPD_0.95,SILT,PH_WATER,CEC_SOIL,CEC_CLAY,CEC_EFF,TEB,BSAT,TCARBON_EQ
R.bupleuroides,572.1799,4.44,196.48,748.0345,10.0039,30,0.2211,0.543,46.0563,159.0033,216.8238,34.1108,6.1203,16.5479,55.1425,14.5558,12.423,59.7643,2.4025
R.chrysanthemifolia,559.7856,4.2425,166.7247,617.9099,8.9078,26,0.3082,0.6209,153.8986,356.5906,806.502,34.2027,6.129,17.714,53.5076,16.1439,14.6098,61.358,2.7977
R.crenulata,634.2736,4.6624,195.8298,742.3959,9.2322,26,0.1417,0.383,7.3696,10.0907,27.442,34.0806,6.2478,16.0333,57.4444,16.7917,14.1472,63.5389,3.4633
R.discolor,496.0439,4.2027,162.8793,688.9973,7.2621,24.8,0.2282,0.4989,72.4633,207.2902,221.169,33.2735,5.9693,16.6238,55.8486,13.9729,11.395,54.0653,2.1659
R.fastigiata,614.3495,5.1144,146.2398,797.9856,9.1459,26,0.2091,0.4945,32.3889,67.6115,154.023,31.0502,6.1644,15.1918,51.7443,17.2329,15.3242,63.484,2.7
R.heterodonta,924.5723,5.1813,189.9947,909.3231,8.5382,30,0.1561,0.3266,26.5677,45.4722,154.6021,33.4391,7.106,15.5774,61.4276,27.1489,25.7737,83.484,6.9495
R.humilis,616.1623,4.7595,201.9889,731.7172,9.8071,26,0.1898,0.376,9.8754,13.5387,24.1488,32.2431,5.8083,15.4931,55.7153,8.2847,5.6042,45.6319,0.8972
R.kirilowii,828.9697,4.6152,142.4654,771.8549,3.4919,10,0.3028,0.6662,120.4141,771.2495,431.0813,38.1226,7.1276,18.6753,68.8913,25.333,25.0678,87.4635,7.8333
R.nepalica,525.9807,2.7725,61.2266,469.0057,4,30,0.1104,0.1408,2.8454,1.566,4.7915,33.1061,6.0912,15.9476,55.886,15.0806,12.8249,57.6252,2.8243
R.purpureoviridis,595.2484,2.8425,250.2164,409.6059,9.0431,22.4,0.2369,0.4528,12.1987,8.3284,23.3728,37.4091,6.7,16.7727,61,20.6364,19.6364,82.3636,5.8091
R.quadrifida,"1,190.30",4.493,172.2383,560.8098,7.8544,26,0.0806,0.1884,4.3269,30.3325,6.8967,34.2034,6.1509,12.9543,59.9295,14.7628,13.0672,62.8587,2.7914
R.sherriffii,548.5317,3.8081,202.6171,431.445,7.6681,16.4,0.2312,0.3595,149.9401,179.0711,344.9227,34.5,5.6023,15.8409,57.6364,10.3182,7.1591,45.6136,0.3205
R.tibetica,912.6716,4.1199,159.9117,641.7049,5.9506,22,0.0843,0.2142,5.1403,18.7625,8.3299,34.2674,6.991,14.4563,63.2598,24.393,22.3947,81.7982,5.1416
R.himalensis,561.3785,4.2545,165.6394,563.9058,8.1724,26,0.1552,0.31,33.3049,70.4155,221.6369,32.1018,5.6462,15.4834,53.6184,10.953,7.7104,44.227,1.5088
